brand,sku,name,category,priced,source,has_remote_url
"Ashirvad","Z8EUR","Ashirvad Flowguard Plus 1 Step CPVC Yellow Medium Solvent Cement","Bathware & plumbing",yes,"homerun",yes
"Astral","TANASTBALWRM8R","Ball Valve Long Handle CPVC","Bathware & plumbing",yes,"handypanda",yes
"Astral","PIPASTMTARA1LU","MTA Brass CPVC","Bathware & plumbing",yes,"handypanda",yes
"Astral","PIPASTREDO9CCP","Reducing MTA Brass CPVC","Bathware & plumbing",yes,"handypanda",yes
"Astral","PIPASTSOLON40D","Solvent CPVC","Bathware & plumbing",yes,"handypanda",yes
"Ebco","SABKC","Ebco 165° Hinge, Regular Close, 1 Set (2 Nos)","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","AJCEY","Ebco Aluminium Profile Cabinet Edge, Length 3m","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","5U9PR","Ebco Aluminium Profile Shutter Handle End Cap, EC-1935-AB, Anodised Black, L+R Set","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","RYGZG","Ebco Aluminium Profile Shutter Handle, SH1-1935-3M-AB, Anodised Black, 19mm X 35mm, 3m Length","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","26PH6","Ebco Aluminium Shutter Grill","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","4CKMF","Ebco Anti Skid Mat 5, Anthracite, Cross, 5m (L) X 51cm (W), 16.4' X 20"", ASM5-ATC","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","6NLTK","Ebco Auto Pull Out Waste Bin, Auto Open on Shutter Open, 28L Capacity, 2 X 14L Separate Bins, APDWB-28","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","LR4XS","Ebco Bottle Pullout, Soft Close, 2 Tier","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","8HLS7","Ebco Cabinet Shelf Support Pin","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","KZLHG","Ebco Cup & Saucer Kitchen Basket, SS304, 100mm (H) X 505mm (D), 4"" X 20""","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","KJVBA","Ebco Cutlery Kitchen Basket, SS304, 80mm (H) X 505mm (D), 3.2"" X 20""","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","PQ7RC","Ebco Eurolift Bi-Fold Door System, Soft Close, Anthracite","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","549YM","Ebco Fascia Bracket for POWB4-40-AT","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","5TPD2","Ebco Hi Slide 50 Reversible Sliding Mechanism, Soft Close (Door Fitting)","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","WATCV","Ebco Hinge Drilling Template for HAP","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","5QL8B","Ebco Light Adapter Series 2, 24V 24W Power Supply Unit for LED Lights, PSU2-2424-WH","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","UVUQH","Ebco Light Linear 2 Way LED Strip Light for 8mm Glass, 4000K, 24V","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","HD4GC","Ebco Livsmart Pulldown System for 900mm (36"") Wide Kitchen Cabinets Mechanism with Glass Baskets, KPDSG90-AT","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","G3FJX","Ebco Luminor 8C, Set of Aluminium Heat Sink Profile with Diffusor Profile, Length 3m, LUM8C1","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","PGCMW","Ebco MS Wardrobe Rail Bracket - Metal Support for Hanging Rods, 1 Set (2 Nos), Nickel Plated, WRF-B2","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","M2LNL","Ebco Magic Corner Max 90, Single Pullout","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","KJLFW","Ebco Mounting Screw Kit for Pro-Lift Bed Fittings","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","ERNKD","Ebco PVC Skirting Joints, 100mm, Black (Pack of 1 No.)","Bathware & plumbing",yes,"homerun",yes
"Ebco","TEL5T","Ebco PVC Skirting Q Plinth and Clip, 100mm","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","Z649V","Ebco PVC Skirting, Height 100mm/4"", Length 3m, Black, PVCSE-10-BL-30","Bathware & plumbing",yes,"homerun",yes
"Ebco","XPM9F","Ebco Pantry Unit, Soft Close","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","FEGXB","Ebco Plain Kitchen Basket, SS304","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","ATRTX","Ebco Plate Kitchen Basket, SS304, 150mm (H) X 505mm (D), 6"" X 20""","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","G4WXZ","Ebco Pro Lift Bed Fitting - Extended Arm Set, Heavy Duty, PLBF-EF-E-HD","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","4WXZB","Ebco Pro Lift Bed Hydraulic Gas Pump, Heavy Duty, 1 Set (2 Nos)","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","CYLDV","Ebco Pro Lift Cabinet Gas Pump, 1 Set (2 Nos)","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","GTV8M","Ebco Pro Lift Cabinet Gas Pump, 20 Kg, Regular Close, PLC-20","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","2HGJM","Ebco Pro Motion Tandem Box, S3 Series, 50Kg, Full Set, Anthracite","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","JJZG8","Ebco Pull Out Waste Bin, 40L Capacity, 2 X 20L Separate Bins, POWB4-40-AT","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","R6GGC","Ebco Push Open Fitting, Magnetic, Stroke 40mm (1.57""), POM40","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","N5T4D","Ebco Roll Top Pro Vertical Rolling Shutter with Overlay Rails & Cover Profile","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","MRVM2","Ebco Side Pullout, Frameless, SS304","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","DDTE5","Ebco Sleek Telescopic Drawer Channel, Regular Close, 35 Kg Capacity, Zinc","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","NMGVJ","Ebco Sleek Telescopic Drawer Channel, Soft Close, 35 Kg Capacity, Zinc","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","VZMTL","Ebco Slip On Hinge, Regular Close, 1 Set (2 Nos)","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","D7ZYV","Ebco Soft Close Hinges, 1 Set (2 Nos)","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","DP6RK","Ebco Swing Out Waste Bin, Rectangular","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","ALKSU","Ebco Thali Kitchen Basket, SS304, 200mm (H) X 505mm (D), 8"" X 20""","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","76A2W","Ebco Universal Magic Corner, Double Pullout","Cement & steel",yes,"homerun",yes
"Ebco","34P2D","Ebco Wardrobe Pullout Ironing Board, WPIB-4360-AT","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","4X93S","Ebco Wardrobe Rail Fittings","Kitchen & wardrobe fittings",yes,"homerun",yes
"Ebco","EDA37","Ebco Wicker Basket, Soft Close","Kitchen & wardrobe fittings",yes,"homerun",yes
"Jaquar","ITS-WHT-89107","15753NP180PPZ","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","ITS-BEM-89107","15753NP180PPZ","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","LYS-WHT-38101UF","166 jaquar.com","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","JCS-WHT-2400P","214 jaquar.com","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","ARS-WHT-39955S110UFSM","363SPPZ, 751P180SPPZ, 751S300SPPZ, 851S300SPP, 551SSPP 1,450 1,225 751S, 353, 555S,753S & P, 755S, 851 1,350 757NS300SPPSZ, 757S300SPPZ, 757NS300SPPZ 1,375","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","VGS-WHT-81103UF","81753P180UFSMZ","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","WSP-SLV-SPA4S449VX","Aquagym Max Extreme with Stairs panel, Thermic Cover JETS : 5” Directional Jet 2 5” Single Hole Spinning Jet 3 3” Directional Jet 8 3” Spinning Jet 10 2” Directional Jet 24 2” Spinning Jet 16 Air Jet 14 Water Cascade Jet 1 Laminar Jet 4 Swim Jet 4 Total 86","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","ESA-BGE-LDGD1212","Artificial Marble Ledge 1200 x 1200","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","HDR-SSF-AK2803D","Bolt touch-free infrared hand dryer with 1150W rated power & carbon brush motor Material: 304 Stainless Steel Finish: Stainless Steel Finish Accessories Hand Dryer - NUOVO 59,700","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","JSP-WHT-SPABREVA5S","Breva Spa Shell Color- Pearl Blend with Stairs panel, Thermic Cover JETS : 3” Single rotating jet 3 2.5” Directional Jet 4 2” Directional Jet 25 1” Single rotating jet 4 Circulation jet 4 Air jet 12 Fountain jet 3 Total 55","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","OPS-WHT-15961BIUFSMTL","CLOSE SEAT COVER FOR OPS WHT-15953BIUFPM, 15753P180UFPMZ, 15953BIUFPM 3,900 CLOSE SEAT COVER FOR OPS WHT-15953BIUFPM, 15753P180UFPMZ, 15953BIUFPM 3,900 CLOSE SEAT COVER FOR OPS WHT-15953BIUFPM, 15753P180UFPMZ, 15953BIUFPM 3,900","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","ONS-WHT-10961BIUFSMTL","CLOSE SEAT COVER FOR OPS WHT-15953BIUFPM, 15753P180UFPMZ, 15953BIUFPM 4,150 CLOSING SEAT COVER FOR 15851S 3,800 CLOSE SEAT COVER FOR OPS WHT-15953BIUFPM, 15753P180UFPMZ, 15953BIUFPM 3,900","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","ONS-WHT-10953NBIUF","CLOSE SLIM SEAT COVER FOR 10853S300UFSM 3,200 CLOSE SLIM SEAT COVER FOR 10753P180UFSM, 10753NS250UFSM, 10955P180UFSM, 15851S300UFSM 3,200","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","VGS-WHT-81953BIUFPM","CLOSING SEAT COVER FOR 81751S, 81751P 1,630 CLOSE SLIM SEAT COVER FOR VGS-WHT-81753S250UFSMZ, 15753NP180UFSMZ, 4,550 15753NS250UFSMZ CLOSE SEAT COVER FOR VGS-WHT-81853S300B, 81853P180B, 6851S300UF 4,900","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","CNS-WHT-353SPPSMZ","CNS-WHT-759S300UFSMZ, 759S250UFSMZ, 759P180UFSMZ 2,225 551SSPP, 553SSPP 1,325 CNS-WHT-855S300SPPSM, 855S300SPPSMY, 855S200SPPSM, 855P180SPPSM 1,325","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","SDR-WHT-DJ0010FN","Capacity: 0.8L Material: ABS Finish: white/smoked 10 Soap Dispenser - Automatic 4,000","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","SDR-BLC-DJ0160ASN","Capacity: 0.8L Material: aluminium/ABS Finish: chrome/black 10 for Specially Abled Stainless Steel","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","PTD-SAP-DT0106CSN","Capacity: 400-600 C/Z towels Material: AISI 304 stainless steel Finish: satin 10","Bathware & plumbing",no,"Jaquar catalogue",no
"Jaquar","JCP-CHR-852415","Control Plate Alive","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","JCP-CHR-392415","Control Plate Aria","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","JCP-CHR-372415","Control Plate D’arc","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","JCP-CHR-292415","Control Plate Fusion","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","JCP-CHR-352415","Control Plate Kubix","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","JCP-CHR-912415","Control Plate Laguna","Bathware & plumbing",yes,"Jaquar catalogue",no
"Jaquar","JCP-CHR-152415","Control Plate Opal","Bathware & plumbing",yes,"Jaquar catalogue",no
