file,background_brightness,reason
imported/26PH6.jpg,217,"skipped: tinted ground"
imported/2HGJM.jpg,121,"skipped: dark or scene"
imported/2MY47.jpg,225,"skipped: tinted ground"
imported/2SG3U.jpg,175,"skipped: dark or scene"
imported/34P2D.jpg,101,"skipped: dark or scene"
imported/5TPD2.jpg,161,"skipped: dark or scene"
imported/5U9PR.jpg,219,"skipped: tinted ground"
imported/5WFH6.jpg,227,"skipped: tinted ground"
imported/75LHR.jpg,162,"skipped: dark or scene"
imported/76A2W.jpg,132,"skipped: dark or scene"
imported/ACCLOCTAPXCMUB.jpg,229,"skipped: tinted ground"
imported/AJCEY.jpg,144,"skipped: dark or scene"
imported/ALKSU.jpg,95,"skipped: dark or scene"
imported/ATRTX.jpg,95,"skipped: dark or scene"
imported/CB2V2.jpg,231,"skipped: tinted ground"
imported/CEMULTCEM97EMS.jpg,228,"skipped: tinted ground"
imported/DP6RK.jpg,148,"skipped: dark or scene"
imported/ERNKD.jpg,203,"skipped: tinted ground"
imported/FANCROEXH900OE.jpg,219,"skipped: tinted ground"
imported/FANGENFAN8CIEA.jpg,150,"skipped: dark or scene"
imported/FEGXB.jpg,117,"skipped: dark or scene"
imported/FF8RD.jpg,211,"skipped: tinted ground"
imported/HDHACTHDH8TB1A.jpg,221,"skipped: tinted ground"
imported/HINHETHIN8XCAW.jpg,200,"skipped: tinted ground"
imported/INTASIAPC07MV8.jpg,231,"skipped: tinted ground"
imported/INTASIROYBYAPD.jpg,226,"skipped: tinted ground"
imported/INTASIROYGZCI8.jpg,231,"skipped: tinted ground"
imported/INTASIROYUWEWK.jpg,230,"skipped: tinted ground"
imported/JP9VG.jpg,218,"skipped: tinted ground"
imported/KZLHG.jpg,115,"skipped: dark or scene"
imported/LAMCKXLAM6HFRY.jpg,226,"skipped: tinted ground"
imported/LAMGREMDFE4RQ8.jpg,227,"skipped: tinted ground"
imported/LIGCROSTREEN3O.jpg,129,"skipped: dark or scene"
imported/M2LNL.jpg,103,"skipped: dark or scene"
imported/MCBBICMCBUVC00.jpg,217,"skipped: tinted ground"
imported/PB6LV.jpg,186,"skipped: dark or scene"
imported/PIPASTPIP2B1EZ.jpg,218,"skipped: tinted ground"
imported/PIPASTPIPNCHX7.jpg,216,"skipped: tinted ground"
imported/PIPLOCNIP8JG9O.jpg,216,"skipped: tinted ground"
imported/PIPSUPPIP41TBM.jpg,217,"skipped: tinted ground"
imported/PMJ86.jpg,46,"skipped: dark or scene"
imported/QXG3V.jpg,44,"skipped: dark or scene"
imported/R5TWD.jpg,220,"skipped: tinted ground"
imported/RLU3X.jpg,138,"skipped: dark or scene"
imported/RYGZG.jpg,211,"skipped: tinted ground"
imported/SANLOCSEAWHQWW.jpg,227,"skipped: tinted ground"
imported/SWIGIRMCBDNWF0.jpg,228,"skipped: tinted ground"
imported/SXJBK.jpg,123,"skipped: dark or scene"
imported/TAPONTSINL1MQW.jpg,232,"skipped: tinted ground"
imported/TV29C.jpg,228,"skipped: tinted ground"
imported/UDDC9.jpg,32,"skipped: dark or scene"
imported/UEW8R.jpg,213,"skipped: tinted ground"
imported/UVUQH.jpg,133,"skipped: dark or scene"
imported/WIRHAVLIFCC3F0.jpg,225,"skipped: tinted ground"
imported/XLMLP.jpg,153,"skipped: dark or scene"
imported/XPM9F.jpg,147,"skipped: dark or scene"
imported/XZ68U.jpg,100,"skipped: dark or scene"
imported/YSP85.jpg,193,"skipped: dark or scene"
jaquar/ACN-CHR-1101S.jpg,83,"skipped: dark or scene"
jaquar/ACN-CHR-1121BN.jpg,227,"skipped: tinted ground"
jaquar/ACN-CHR-1121N.jpg,225,"skipped: tinted ground"
jaquar/ACN-CHR-1131N.jpg,222,"skipped: tinted ground"
jaquar/ACN-CHR-1135N.jpg,228,"skipped: tinted ground"
jaquar/ACN-CHR-1141N.jpg,231,"skipped: tinted ground"
jaquar/ACN-CHR-1151N.jpg,227,"skipped: tinted ground"
jaquar/ALD-CHR-233N.jpg,226,"skipped: tinted ground"
jaquar/ALD-CHR-783N.jpg,225,"skipped: tinted ground"
jaquar/ALX-WHT-H030.jpg,191,"skipped: dark or scene"
jaquar/ERD-WHT-V015.jpg,230,"skipped: tinted ground"
jaquar/ERM-WHT-V006.jpg,227,"skipped: tinted ground"
jaquar/ESA-BGE-LDG0812.jpg,122,"skipped: dark or scene"
jaquar/ESA-DGM-LDG0812.jpg,160,"skipped: dark or scene"
jaquar/ESA-GBL-LDG0812.jpg,178,"skipped: dark or scene"
jaquar/ESA-GBL-LDGD9090.jpg,97,"skipped: dark or scene"
jaquar/ESA-GMS-LDG0812.jpg,119,"skipped: dark or scene"
jaquar/ESA-WHT-LDG0812.jpg,139,"skipped: dark or scene"
jaquar/FLP-CHR-5001BPM.jpg,228,"skipped: tinted ground"
jaquar/FLV-CHR-1015G.jpg,201,"skipped: tinted ground"
jaquar/FUP-CHR-29005BPM.jpg,231,"skipped: tinted ground"
jaquar/INP-BLM-12KW.jpg,232,"skipped: tinted ground"
jaquar/INP-WHT-07KW.jpg,219,"skipped: tinted ground"
jaquar/JBT-WHT-ALIVE180X.jpg,107,"skipped: dark or scene"
jaquar/JBT-WHT-ARC190X.jpg,107,"skipped: dark or scene"
jaquar/JBT-WHT-DARC180X.jpg,118,"skipped: dark or scene"
jaquar/JBT-WHT-FONT150X.jpg,96,"skipped: dark or scene"
jaquar/JBT-WHT-FONT160X.jpg,71,"skipped: dark or scene"
jaquar/JBT-WHT-FONT170X.jpg,78,"skipped: dark or scene"
jaquar/JBT-WHT-FONT180X.jpg,116,"skipped: dark or scene"
jaquar/JBT-WHT-FONTR150X.jpg,46,"skipped: dark or scene"
jaquar/JBT-WHT-FSBT167543X.jpg,152,"skipped: dark or scene"
jaquar/JBT-WHT-FSBT177542X.jpg,175,"skipped: dark or scene"
jaquar/JBT-WHT-FSBT177544X.jpg,143,"skipped: dark or scene"
jaquar/JBT-WHT-FSBT177840X.jpg,154,"skipped: dark or scene"
jaquar/JBT-WHT-FSBTLG6001.jpg,44,"skipped: dark or scene"
jaquar/JBT-WHT-FSBTLG6005.jpg,74,"skipped: dark or scene"
jaquar/JBT-WHT-FSBTMAD1778.jpg,163,"skipped: dark or scene"
jaquar/JBT-WHT-FSBTPB278X.jpg,190,"skipped: dark or scene"
jaquar/JBT-WHT-FUSN140X.jpg,73,"skipped: dark or scene"
jaquar/JBT-WHT-KUBIX180X.jpg,55,"skipped: dark or scene"
jaquar/JBT-WHT-KUBIXP180X.jpg,125,"skipped: dark or scene"
jaquar/JBT-WHT-LAGUNA170X.jpg,127,"skipped: dark or scene"
jaquar/JBT-WHT-LAGUNA180X.jpg,151,"skipped: dark or scene"
jaquar/JBT-WHT-OPALPM180X.jpg,63,"skipped: dark or scene"
jaquar/JBT-WHT-VGNTP190X.jpg,116,"skipped: dark or scene"
jaquar/JCS-WHT-2400WS.jpg,150,"skipped: dark or scene"
jaquar/JSE-ABR-ALP110F1200H20X.jpg,187,"skipped: dark or scene"
jaquar/JSE-ABR-ALP110F800H22FL.jpg,158,"skipped: dark or scene"
jaquar/JSE-ABR-ALP110F800H22LM.jpg,191,"skipped: dark or scene"
jaquar/JSE-ABR-ENNA1012X.jpg,193,"skipped: dark or scene"
jaquar/JSE-ABR-OPTPSD1015X.jpg,150,"skipped: dark or scene"
jaquar/JSE-ABR-OPTSDR1015X.jpg,184,"skipped: dark or scene"
jaquar/JSE-ACR-ALP110F1200H20X.jpg,182,"skipped: dark or scene"
jaquar/JSE-ACR-ALP110F800H22FL.jpg,159,"skipped: dark or scene"
jaquar/JSE-ACR-ALP110F800H22LM.jpg,192,"skipped: dark or scene"
jaquar/JSE-ACR-ENNA1012X.jpg,212,"skipped: tinted ground"
jaquar/JSE-ACR-OPTPSD1015X.jpg,150,"skipped: dark or scene"
jaquar/JSE-ACR-OPTSDR1015X.jpg,184,"skipped: dark or scene"
jaquar/JSE-BLM-ALP110F1200H20X.jpg,177,"skipped: dark or scene"
jaquar/JSE-BLM-ALP110F800H22FL.jpg,158,"skipped: dark or scene"
jaquar/JSE-BLM-ALP110F800H22LM.jpg,188,"skipped: dark or scene"
jaquar/JSE-BLM-DEL1010X.jpg,178,"skipped: dark or scene"
jaquar/JSE-BLM-ENNA1012X.jpg,169,"skipped: dark or scene"
jaquar/JSE-BLM-OPTPSD1015X.jpg,152,"skipped: dark or scene"
jaquar/JSE-BLM-OPTSDR1015X.jpg,140,"skipped: dark or scene"
jaquar/JSE-CHR-110D0680H19X.jpg,170,"skipped: dark or scene"
jaquar/JSE-CHR-115C2832H19X.jpg,173,"skipped: dark or scene"
jaquar/JSE-CHR-120ST0812H27X.jpg,184,"skipped: dark or scene"
jaquar/JSE-CHR-120STF0812H30X.jpg,196,"skipped: dark or scene"
jaquar/JSE-CHR-130ST1216H23.jpg,169,"skipped: dark or scene"
jaquar/JSE-CHR-130STF1216H30X.jpg,178,"skipped: dark or scene"
jaquar/JSE-CHR-140F0812H19X.jpg,174,"skipped: dark or scene"
jaquar/JSE-CHR-140ST2024H21.jpg,167,"skipped: dark or scene"
jaquar/JSE-CHR-140ST2024H22X.jpg,182,"skipped: dark or scene"
jaquar/JSE-CHR-140STF2024H27X.jpg,158,"skipped: dark or scene"
jaquar/JSE-CHR-186T3438H19X.jpg,112,"skipped: dark or scene"
jaquar/JSE-CHR-3POPTSDR1215.jpg,143,"skipped: dark or scene"
jaquar/JSE-CHR-810F1618H19X.jpg,172,"skipped: dark or scene"
jaquar/JSE-CHR-810S900SX.jpg,170,"skipped: dark or scene"
jaquar/JSE-CHR-810T1618X.jpg,168,"skipped: dark or scene"
jaquar/JSE-CHR-810UC450X.jpg,121,"skipped: dark or scene"
jaquar/JSE-CHR-810US450X.jpg,116,"skipped: dark or scene"
jaquar/JSE-CHR-820G1620H19X.jpg,150,"skipped: dark or scene"
jaquar/JSE-CHR-820W1620H19X.jpg,170,"skipped: dark or scene"
jaquar/JSE-CHR-830G2024H19X.jpg,142,"skipped: dark or scene"
jaquar/JSE-CHR-840G2832H19X.jpg,116,"skipped: dark or scene"
jaquar/JSE-CHR-840L2832H19X.jpg,179,"skipped: dark or scene"
jaquar/JSE-CHR-840P2428H19X.jpg,153,"skipped: dark or scene"
jaquar/JSE-CHR-840U2428H19X.jpg,187,"skipped: dark or scene"
jaquar/JSE-CHR-840U4P202419.jpg,161,"skipped: dark or scene"
jaquar/JSE-CHR-840W2428H19X.jpg,178,"skipped: dark or scene"
jaquar/JSE-CHR-A830G1500H20X.jpg,185,"skipped: dark or scene"
jaquar/JSE-CHR-DEL1010X.jpg,179,"skipped: dark or scene"
jaquar/JSE-CHR-ENNA1012X.jpg,177,"skipped: dark or scene"
jaquar/JSE-CHR-FUSP1280X.jpg,135,"skipped: dark or scene"
jaquar/JSE-CHR-MICA8M90D391.jpg,183,"skipped: dark or scene"
jaquar/JSE-CHR-OPT2D1015X.jpg,141,"skipped: dark or scene"
jaquar/JSE-CHR-OPTPSD1015X.jpg,186,"skipped: dark or scene"
jaquar/JSE-CHR-OPTSDR1015TR.jpg,170,"skipped: dark or scene"
jaquar/JSE-CHR-OPTSDR1550SX.jpg,170,"skipped: dark or scene"
jaquar/JSE-CHR-S810F0680H20X.jpg,191,"skipped: dark or scene"
jaquar/JSE-CHR-S810S0812H20X.jpg,197,"skipped: dark or scene"
jaquar/JSE-CHR-S820W1216H20X.jpg,146,"skipped: dark or scene"
jaquar/JSE-CHR-S830G1620H20X.jpg,171,"skipped: dark or scene"
jaquar/JSE-CHR-S840L2024H20X.jpg,208,"skipped: tinted ground"
jaquar/JSE-CHR-STLSDR1518X.jpg,155,"skipped: dark or scene"
jaquar/JSE-GLD-ALP110F1200H20X.jpg,181,"skipped: dark or scene"
jaquar/JSE-GLD-ALP110F800H22FL.jpg,144,"skipped: dark or scene"
jaquar/JSE-GLD-ALP110F800H22LM.jpg,193,"skipped: dark or scene"
jaquar/JSE-GLD-DEL9090X.jpg,168,"skipped: dark or scene"
jaquar/JSE-GLD-FUSP1290RX.jpg,139,"skipped: dark or scene"
jaquar/JSE-GLD-OPTSDR1015X.jpg,183,"skipped: dark or scene"
jaquar/JSE-WHT-STQD1010X.jpg,121,"skipped: dark or scene"
jaquar/JSE-WHT-STRCT1210X.jpg,93,"skipped: dark or scene"
jaquar/JSE-WHT-STSQ1010X.jpg,115,"skipped: dark or scene"
jaquar/JSG-BLK-CPSQUARE.jpg,210,"skipped: tinted ground"
jaquar/JWP-WHT-ALIVE180CX.jpg,118,"skipped: dark or scene"
jaquar/JWP-WHT-ARC190CX.jpg,116,"skipped: dark or scene"
jaquar/JWP-WHT-DARC180CX.jpg,153,"skipped: dark or scene"
jaquar/JWP-WHT-FONTE160CX.jpg,166,"skipped: dark or scene"
