severity,kind,sku,slug,name,detail,fixedTo
"review","missing-image","22R5S","jaquar-jaquar-florentine-prime-wall-mixer-with-shower-provision-chrome-flp-chr-5273pm-22r5s","Jaquar Florentine Prime Wall Mixer with Shower Provision, Chrome, FLP-CHR-5273PM","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","236JR","homerun-futura-waste-pipe-flexible-pvc-heavy-duty-with-pvc-chuck-nut-236jr","Futura Waste Pipe | Flexible PVC, Heavy Duty, With PVC Chuck Nut","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","25SG2","homerun-makita-m3700b-trimmer-6mm-collet-35000-rpm-1-4kg-25sg2","Makita M3700B Trimmer | 6mm Collet, 35000 RPM, 1.4kg","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","unit-mismatch","25SG2","homerun-makita-m3700b-trimmer-6mm-collet-35000-rpm-1-4kg-25sg2","Makita M3700B Trimmer | 6mm Collet, 35000 RPM, 1.4kg","Name says 1.4kg but the row is priced PER_KG. Either re-unit it, or the price is for the pack and should be divided by 1.4. Cheapest variant: 6785.00",""
"review","missing-image","26PH6","ebco-ebco-aluminium-shutter-grill-26ph6","Ebco Aluminium Shutter Grill","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","29ZVW","myk-laticrete-myk-laticrete-dwa-215-tile-adhesive-10-kg-29zvw","MYK Laticrete DWA 215 Tile Adhesive, 10 Kg","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","unit-mismatch","29ZVW","myk-laticrete-myk-laticrete-dwa-215-tile-adhesive-10-kg-29zvw","MYK Laticrete DWA 215 Tile Adhesive, 10 Kg","Name says 10Kg but the row is priced PER_KG. Either re-unit it, or the price is for the pack and should be divided by 10. Cheapest variant: 2025.00",""
"review","missing-image","2H5BM","homerun-jon-bhandari-f-002-machinist-file-set-with-handles-6-long-6-piece-set-2h5bm","Jon Bhandari F-002 Machinist File Set with Handles, 6"" Long, 6-Piece Set","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2HGJM","ebco-ebco-pro-motion-tandem-box-s3-series-50kg-full-set-anthracite-2hgjm","Ebco Pro Motion Tandem Box, S3 Series, 50Kg, Full Set, Anthracite","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","unit-mismatch","2HGJM","ebco-ebco-pro-motion-tandem-box-s3-series-50kg-full-set-anthracite-2hgjm","Ebco Pro Motion Tandem Box, S3 Series, 50Kg, Full Set, Anthracite","Name says 50Kg but the row is priced PER_KG. Either re-unit it, or the price is for the pack and should be divided by 50. Cheapest variant: 2447.00",""
"review","missing-image","2K88T","asian-paints-asian-paints-apex-ultima-protek-base-white-2k88t","Asian Paints Apex Ultima Protek, Base White","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2L7F6","legrand-legrand-myrius-nextgen-switch-6a-1-module-2l7f6","Legrand Myrius NextGen Switch, 6A, 1 Module","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2MEPU","asian-paints-asian-paints-apex-ultima-base-white-2mepu","Asian Paints Apex Ultima, Base White","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2MY47","action-tesa-action-tesa-boilo-board-plain-8-x4-2my47","Action Tesa Boilo Board, Plain, 8'x4'","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2PEWV","homerun-fan-cover-2pewv","Fan Cover","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2QZCF","homerun-hillson-dragon-steel-toe-gumboots-15-high-2qzcf","Hillson Dragon Steel Toe Gumboots, 15"" High","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2R8CG","myk-laticrete-myk-laticrete-307-ceramic-tile-adhesive-grey-20-kg-bag-2r8cg","MYK Laticrete 307 Ceramic Tile Adhesive, Grey, 20 Kg Bag","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","unit-mismatch","2R8CG","myk-laticrete-myk-laticrete-307-ceramic-tile-adhesive-grey-20-kg-bag-2r8cg","MYK Laticrete 307 Ceramic Tile Adhesive, Grey, 20 Kg Bag","Name says 20Kg but the row is priced PER_KG. Either re-unit it, or the price is for the pack and should be divided by 20. Cheapest variant: 495.00",""
"review","missing-image","2SG3U","homerun-king-cobra-ss-nails-1-kg-2sg3u","King Cobra SS Nails, 1 Kg","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
"review","missing-image","2SPMZ","finolex-finolex-flamegard-fr-lsh-wire-2spmz","Finolex Flamegard FR-LSH Wire","No Quoin image; a source URL exists but is gated behind SHOW_SOURCE_IMAGES",""
